date,nb_views,nb_votes
2010-11-04,,
2010-11-05,58077,189
2010-11-06,204878,384
2010-11-07,189102,290
2010-11-08,98837,253
2010-11-09,79030,203
2010-11-10,99919,200
2010-11-11,173364,475
2010-11-12,145459,183
2010-11-13,84743,224
2010-11-14,172215,330
2010-11-15,44073,86
2010-11-16,14060,52
2010-11-17,142089,206
2010-11-18,53332,276
2010-11-19,158144,328
2010-11-20,32546,134
2010-11-21,96080,168
2010-11-22,85593,213
2010-11-23,213197,390
2010-11-24,45472,155
2010-11-25,316478,263
2010-11-26,,
2010-11-27,53810,87
2010-11-28,101282,279
2010-11-29,851464,610
2010-11-30,27155,59
2010-12-01,77323,239
2010-12-02,67802,666
2010-12-03,123841,277
2010-12-04,59202,198
2010-12-05,111626,319
2010-12-06,129006,450
2010-12-07,83782,188
2010-12-08,170448,269
2010-12-09,86820,205
2010-12-10,145281,240
2010-12-11,48692,140
2010-12-12,26762,95
2010-12-13,23043,68
2010-12-14,122202,237
2010-12-15,87351,282
2010-12-16,191511,201
2010-12-17,7761,23
2010-12-18,96644,188
2010-12-19,100689,176
2010-12-20,170696,411
2010-12-21,18248,77
2010-12-22,88102,193
2010-12-23,14137,41
2010-12-24,70206,140
2010-12-25,74569,221
2010-12-26,85032,152
2010-12-27,161173,425
2010-12-28,81427,231
2010-12-29,108728,293
2010-12-30,66223,184
2010-12-31,87772,239
2011-01-01,18737,107
2011-01-02,29354,96
2011-01-03,43544,159
2011-01-04,92578,245
2011-01-05,56052,161
2011-01-06,119412,202
2011-01-07,126993,56
2011-01-08,63609,114
2011-01-09,128636,292
2011-01-10,149042,334
2011-01-11,58093,120
2011-01-12,154430,298
2011-01-13,55207,152
2011-01-14,119818,251
2011-01-15,50325,149
2011-01-16,58590,156
2011-01-17,21214,71
2011-01-18,105271,258
2011-01-19,52996,150
2011-01-20,50358,126
2011-01-21,21127,124
2011-01-22,50718,112
2011-01-23,11849,29
2011-01-24,112375,159
2011-01-25,110068,245
2011-01-26,,
2011-01-27,11889,29
2011-01-28,103706,272
2011-01-29,105510,174
2011-01-30,118634,261
2011-01-31,243026,322
2011-02-01,152268,297
2011-02-02,10282,20
2011-02-03,63452,190
2011-02-04,117835,149
2011-02-05,71399,175
2011-02-06,158059,251
2011-02-07,198742,370
2011-02-08,108606,248
2011-02-09,51132,113
2011-02-10,84007,199
2011-02-11,76305,149
2011-02-12,150671,380
2011-02-13,37839,83
2011-02-14,49495,88
2011-02-15,138458,182
2011-02-16,,
2011-02-17,105805,286
2011-02-18,124257,387
2011-02-19,377388,810
2011-02-20,,
2011-02-21,34213,63
2011-02-22,57930,96
2011-02-23,75278,206
2011-02-24,15452,47
